text,sentiment
"Teruskan bergaduh dan rebut jawatan. Kebajikan rakyat tak penting. Ekonomi negara tak penting. Kestabilan politik tak penting. Keyakinan pelabur tehadap negara tak penting. Cipta peluang pekerjaan tak penting. Teruskan wahai kerajaan, teruskan. https://t.co/pC8gt7nKTy",negative
"Sejarah gerakan perempuan Indonesia, sesungguhnya adalah sejarah yang penuh warna. Sebagian dari kalangan perempuan itu, terlibat aktif dalam kehidupan politik, bahkan ikut serta secara aktif dalam... https://t.co/9sjP7alvq4",positive
"Tidak Terima Dituduh, Kontraktor Revitalisasi Monas Tantang PSI
 #RevitalisasiMonas #DKIJakarta #RepublikMerdeka https://t.co/Urc6jTwZ9d",negative
"Asal Tak Ada ‘Bencana Politik’, Rekom PDIP ke Sholahuddin! https://t.co/qo0LL4syqe https://t.co/xG46txkWfh",netral
"Apa kewenangan Menkeu bagi2 uang ke ormas dan sumbernya dari mana ? 1) kenapa hanya ke NU ? 2) kalau dari APBN - kenapa hanya NU dan apa ada dlm APBN ? 3) kalau dari Bank, Menkeu lakukan intervensi ke Bank ? Ini pelanggaran 4) atau Bu Menkeu skrg punya sumber dana ""politik"" ? https://t.co/gxSDIxH31v",netral
"Fakta lain, keanggotaan Dewas KPK dipilih oleh dan bertanggungjawab pada Presiden. Dengan demikian, UU baru KPK membuat KPK berkedudukan dua kali lebih lemah dari sebelumnya.  Partai Politik melemahkan KPK? Ya, Partai koalisi Pak Jokowi yang loloskan UU ini.",negative
"@budimandjatmiko @yoeandha01 @sandalista1789 Kasian anda, di tempeleng kanan kiri atas bawah. Mas bud, kalo boleh ngasih saran mending pensiun dr dunia politik. Lebih enak di kampung, nandur telo karo angon kebo.",positive
Dlm video ini terdapat wajah2 pemimpin PH bangsat yg berjanji kpd rakyat utk memghapuskan tol seblm PRU14. Bangsat2 ini semua perlu dihapuskan dari dunia politik tanah air! PH BANGSAT! @BetterNation3 @RameshRaoAKS @mijjemije @Alamurni @fikhwanBait @zlk69 https://t.co/gMadk8VFFD,negative
"Gerakan sosial masyarakat dewasa ini seolah di jadikan sebuah fashion belaka. Maka tak heran kelak bangsa akan semakin rapuh, jika saat muda sudah terbiasa berikrar tanpa belajar. Syahwat politik sejak dini sama dengan aktif menindas di kemudian hari.",negative
"Orang Indonesia ini jadi agen OSS, pendahulu CIA. Kegiatannya diketahui, dia dieksekusi.https://t.co/OsjbVp9BOO",netral
Urus tadbir negara yg sgt cermerlang ekonomi kukuh politik stabil rakyat harmoni 1Malaysia kebajikan rakyat didahulukan... DSNR TERBAIK 👍👍👍👍👍 SALUTE  TAHNIAH https://t.co/jacxJARvW3,positive
"Akta Pindaan Kewarganegaraan India, Umat Islam Terancam  Suasana politik di India kembali bergolak ekoran tindakan pembuat dasar negara tersebut meluluskan Akta Pindaan Kewarganegaraan (CAA) pada 11 Disember lalu...  https://t.co/J59pqywEVH https://t.co/24Dnh0KeOt",negative
"Gerindra mulai menapaki gaya politik partai Demokrat dulunya, yaitu politik dua kaki, kaki yg satu ingin tetap berada di pola oposisi, satu kaki lain ingin tetap berada dikoalisi rezim  Ini bisa disebut karma politik atau memang dasarnya Gerindra banyak diisi mantan moncong putih",netral
@Dahnilanzar @Kemhan_RI @jokowi @prabowo Lain dulu lain sekarang...perjuangan untuk rakyat berubah menjadi perjuangan isi perut...ah politik memang dinamis dan kotor...bukan begitu???,negative
15 menteri yang ditangkap rezim Orde Baru:  Achmadi Armunanto Astrawinata Chaerul Saleh Imam Sjafei J. Tumakaka Jusuf Muda Dalam Mohammad Achadi Oei Tjoe Tat Setiadji Reksoprodjo Soebandrio Soemardjo Soemarno Sastroatmodjo Surachman Sutomo Martopradoto  https://t.co/bJSITSMu6t,netral
"Usul aja, klo ada kawan2 yg senang baca buku2 kaya gini, saya menyarankan utk cb membaca jg hasil kajian2 antro atau politik lokal utk lihat bahwa mmg tidak semua dapat digeneralisir &amp; disusun berbasis asumsi yg belum diuji scr ilmiah. https://t.co/VZAgc2mhvC",netral
Partai politik yang banyak berada #BangsatBangsa,negative
"JkW orang baik, saya yakin itu ! Ada kiasan : cerdik bagaikan ular tulus bagai merpati ! Politik membuat pak JkW harus seperti ular, tapi hatinya tetap tulus buat rakyat Indonesia ! Singkirkan egomu dan dukung terus   #Jokowi2Periode",positive
@vintenas Sekali senggol politik jadi pengen senggol terus kayaknya nih sutradara 😅😂,netral
Hukum Mahar Politik dan Kontrak Politik https://t.co/4azACzWYph #DirgahayuRI72th https://t.co/eczRgwZ2pa,netral
politik jadi mainan .  moga Allah beri hidayah kepada mereka .,positive
Dugaan Kuat Tiga Organisasi Islam: Kasus Megakorupsi Modus Pembiayaan Politik #Megakorupsi #FPI #RepublikMerdeka https://t.co/TTLFWkN3TZ,netral
Rocky Gerung: Upaya PDIP Gunakan Risma Menandingi Anies Tidak Akan Berhasil #AniesBaswedan #PDIP #RepublikMerdeka https://t.co/nejoU762L3,netral
