"sentiment","text"
"Positive","Selain Bank, Ratu Prabu Juga Gandeng Kontraktor China Bangun LRT"
"Negative","Ini 3 Maskapai Dalam Negeri yang Lagi Goyang"
"Negative","Dihantam Isu Boikot, Saham Starbucks Sudah Turun 15,5%"
"Positive","Melonjak Tinggi, Ekonomi Singapura Tumbuh 5,2%"
"Negative","Menjelajah Museum IKEA Berisi Perabotan Jadul"
"Positive","Sandiaga Uno Mau Jual Saham BUMD DKI, Apa Saja?"
"Positive","Menhub: Jepang Ingin Kereta Kencang JKT-SBY Punya Rel Baru"
"Positive","Proyek LRT Dikebut, Konstruksi Rampung Februari 2018"
"Negative","Posisinya Digeser Perry Warjiyo, Ini Pesan Agus Marto"
"Negative","Dana Asing Kabur Jadi Penyebab Rupiah Loyo Pasca Lebaran"
"Negative","Perusahaan Raksasa Tapi Merugi, dari BlackBerry Hingga Twitter (1)"
"Positive","Harga Ayam Mahal, Jalur Distribusi Terlalu Panjang?"
"Positive","Tekan Impor, Krakatau Steel Produksi 40.000 Ton Baja Gulung"
"Positive","6 Proyek Kereta Api di Jabodetabek"
"Positive","Penerbangan Murah, Paling Fenomenal di Asia Tenggara"
"Positive","Holding BUMN Jasa Keuangan Diproses, Begini Progresnya"
"Positive","Mau Beli Emas Shio Anjing? Begini Caranya"
"Positive","Salah Satu Alasan Pentingnya Asuransi Kecelakaan"
"Positive","Mau Cari Investor, Menhub Belajar ke Tom Lembong"
"Positive","Satu Lagi Perusahaan Rokok Pangkas Karyawan, Kini Giliran Gudang Garam"
"Positive","Kakek 95 Tahun Ini Masuk Daftar Orang Terkaya Filipina"
"Positive","RI Impor Beras, Mendag: Dijual dengan Harga Medium"
"Negative","Kapan Kemenhub Tindak Tegas Sopir Taksi Online Nakal?"
"Negative","Miris, 116 TV Bikinan Kusrin Dihancurkan Saat Proses Mengurus SNI"
"Negative","Awas! Bitcoin Pernah Dijadikan Modus Investasi Bodong"
"Negative","Para Miliuner Dunia Pun Pernah Hidup Miskin, Ini Buktinya (1)"
"Positive","Pelindo II Akan Kembangkan Pelabuhan Syariah di Priok"
"Positive","Daftar Negara Penimbun Emas Terbanyak, RI Peringkat Berapa?"
"Positive","BNI Sosialisasi Nama Stasiun BNI City"
"Negative","Dolar AS Tembus Rp 13.600, Ini Penyebabnya"
"Positive","Kata Sri Mulyani Soal Aturan SNI Mainan Impor"
"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
"Positive","Edi Sukmoro Jabat Dirut KAI hingga 2023"
"Positive","Mendongkrak Industri untuk Kejar Pertumbuhan Ekonomi 7%"
"Positive","UMP Naik 8,71%, Berapa Upah Minimum DKI 2018?"
"Positive","Pasca-Konsensus ASEAN, RI Dorong Pemutihan Pekerja Ilegal"
"Positive","Siapa Yenni Andayani, Pengisi Kursi Kosong Dirut Pertamina?"
"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
"Positive","Ini Wanita Bergaji Besar, HIngga Rp 547 Miliar/Tahun (1)"
"Negative","Daftar Penipuan Investasi Terbesar Dalam Sejarah (2)"
"Positive","Bunga Deposito BCA Turun Jadi 4%"
"Negative","Dicap Gagal Bayar Utang, Saham Tambang Bakrie Langsung Anjlok"
"Positive","Buka Pameran Furnitur, Jokowi: Ekspor Harus Kita Dorong"
"Positive","Mengintip Pabrik Pesawat Airbus di China"
"Positive","Menteri PUPR: Bangun Infrastruktur untuk Kejar Ketertinggalan"
"Negative","Ini Pemberi Utang Terbesar ke Pemerintah RI"
"Positive","Pesan BPJS TK untuk Para Pekerja: Kami Beri Perlindungan"
"Positive","Fakta Seputar Rencana Naiknya Uang Pensiun PNS"
"Negative","Penipuan Investasi Terbesar Dalam Sejarah (1)"
"Positive","Pentingnya Punya Dana Darurat untuk Antisipasi Bencana Gempa"
"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
"Positive","Serba-serbi Referendum Italia yang Penting Diketahui"
"Negative","Pasca Longsor, Kapan Kereta Bandara Soetta Beroperasi Lagi?"
"Positive","Diskon Kebutuhan Rumah Tangga di Promo Gajian"
"Positive","Melon Berbakteri Asal Australia Belum Pernah Masuk RI"
"Negative","Ritel Berguguran, Warning Buat Pemerintah"
"Positive","Ini Dia Program Pembangunan 5.323 Desa Berdaya"
"Positive","Awal Tahun, Kementerian PUPR Sudah Belanja Rp 13,8 Triliun"
"Positive","Yuk, Siapkan Dana Pendidikan Anak Sejak Dini"
"Negative","Diduga Terlibat Kartel Daging Ayam, Ini Penjelasan Japfa"
"Positive","PKH Tahap III Cair, Dimulai di Madura"
"Negative","Buka-bukaan Penyebab Selasar BEI Ambruk"
"Positive","Bunga Deposito Bank Terus Turun"
"Positive","Menebak Nasib Ekonomi RI di Tahun Politik"
"Negative","Ekspor Moncer, Defisit Transaksi Berjalan Turun Jadi 1,65% PDB"
"Positive","Kapal Cantrang Boleh Melaut Lagi"
"Positive","Ombudsman ke Pemerintah: Hentikan Membuat Opini Surplus Beras"
"Negative","Pulau RI Dijual Online"
"Positive","Perlukah Punya Asuransi Jiwa?"
"Negative","Rupiah Melemah 0,37% Terhadap Dolar AS di Desember 2017"
"Positive","Perusahaan Asuransi Jiwa Yakin Digitalisasi Tak Bikin PHK"
"Positive","Bunga Deposito Perbankan Makin Rendah"
"Positive","175 Kilometer Rel Kereta Baru Dibangun Sepanjang 2017"
"Negative","Soal LRT Usulan Ratu Prabu, BPTJ: Rutenya Belum Fixed"
"Positive","BPJS Ketenagakerjaan Targetkan 100.000 TKI Jadi Anggota"
"Positive","Konstruksi Tol Cisumdawu Capai 29%"
"Positive","Jokowi Inginkan Inovasi OJK untuk Bantu Pembangunan Infrastruktur"
"Positive","Begini Caranya Agar Mobil Ditanggung Asuransi karena Gempa"
"Positive","Strategi Jamkrindo Genjot Kinerja Sepanjang 2017"
"Positive","Ini Jurus Agar Rupiah Kembali Perkasa Terhadap Dolar AS"
"Positive","Ini Dia Jet Pribadi Super Mewah Termahal di Dunia (1)"
"Positive","6 Pasar Rakyat Dapat Sertifikat SNI"
"Positive","Proyek Pengembangan Bandara Nabire Rampung Akhir 2019"
"Positive","Pemerintah Impor Beras, Sandi: Pemprov DKI Ingin Dilibatkan"
"Positive","Sekarang Buruh Bangunan Hingga Tukang Bakso Bisa Nikmati Pensiun"
"Positive","Dampak Brexit, Darmin: Pasar Saham Cepat Pulih"
"Positive","Siap-siap, Toko Online Harus Terdaftar di Kemendag"
"Negative","Curah Hujan Tinggi, Produksi Garam Lokal Terganggu"
"Positive","Harga Daging Ayam Tembus Rp 60 Ribu/Ekor"
"Negative","Bunga Deposito Rendah Kok Bunga Kredit Masih Tinggi?"
"Positive","Buka Perdagangan Saham, Mochtar Riady Bicara Pentingnya e-Commerce"
"Positive","Silangit Jadi Bandara Internasional Dua Minggu Lagi"
"Positive","Pedagang Pasar: Stok Aman Meski Ada Banjir"
"Positive","Jokowi Ingatkan Para Menteri Soal Efisiensi Anggaran"
"Positive","Kinerja Saham Bakrie 7 Mulai Melempem"
"Negative","Program Sejuta Rumah Tak Capai Target, Ini Sebabnya"
"Positive","Daftar CPNS Kemensos? Ini Daftar Hasil Seleksinya"
"Positive","Bitcoin Sempat Tembus Rp 148,5 juta Dalam Hitungan Jam"
"Positive","Kembangkan Startup, Sandi Luncurkan OK OCE Technology"
"Positive","Begini Kondisi Produksi Ikan Tuna di RI"
"Positive","Ingin Rasakan Mudik dengan Kereta Mewah? Ini Rutenya"
"Negative","Kenapa Harga Daging Ayam Belum Turun Juga?"
"Positive","Rini Rombak Jajaran Direksi PLN"
"Positive","Marak Kecelakaan Kerja, Menhub Minta Jangan Asal Pilih Konsultan"
"Positive","The Fed Mau Bikin Mata Uang Virtual Pesaing Bitcoin Cs"
"Negative","Cadangan Devisa RI Februari Turun Jadi US$ 128 Miliar"
"Negative","Dilema Fresh Graduate, Lamaran Ditolak Karena Belum Pengalaman"
"Negative","Tukang Goreng Saham, Bandar atau Bandit?"
"Negative","Rupiah Anjlok 1,5%: Agus Marto: Kita Jangan Khawatir"
"Positive","Naik Lagi, Cadangan Devisa RI Kini US$ 131 Miliar"
"Positive","Aksi Susi Tenggelamkan Kapal Terancam Dihentikan"
"Negative","Ancaman Jokowi dan Menteri ke Spekulan Beras"
"Positive","Menhub Tegaskan KAI Tetap Jadi Investor LRT Jabodebek"
"Positive","RI akan Cabut Crumb Rubber dari Daftar Negative Investasi"
"Positive","Venezuela Terbitkan Mata Uang Digital Baru Saat Krisis"
"Positive","Mulai April, Taksi Online Nakal Bakal Ditilang"
"Positive","Serba-serbi Orang Terkaya Sejagat Raya"
"Positive","Jurus PT KAI Melajukan Perubahan Perkeretaapian"
"Negative","Ini Sederet Insiden di Gedung BEI"
"Positive","Yuk Intip Deretan SPG Cantik di Pameran BUMN"
"Positive","Sempat Demo, Buruh Pelabuhan Tarakan Akhinya Terima Upah"
"Negative","Tekstil RI Lesu, Pengusaha: Harga Kapas Selalu Jadi Permainan"
"Negative","Jokowi Akui Investasi Masih Terganjal Aturan Sendiri"
"Positive","Ini Daftar 10 Orang Terkaya di Indonesia"
"Positive","Strategi Bisnis Ramayana Supaya Tetap Eksis"
"Positive","Menhub Minta Perusahaan Penerbangan Rekrut Pilot Nganggur"
"Positive","Ada Tol Serang-Panimbang, ke Ujung Kulon Bisa Lebih Mudah"
"Negative","Taksi Online Nakal Belum Ditindak, Ini Kata Organda"
"Negative","Pedagang Kena Biaya Debit, Apa Bakal Dibebankan ke Pembeli?"
"Positive","Beli ORI Kini Semudah Beli Saham, Apa Saja Untungnya?"
"Negative","LRT Jabodetabek Batal Groundbreaking, Jokowi Pun Turun Tangan"
"Positive","Tripartit Tetapkan 9 Agenda Kerja Ketenagakerjaan 2018"
"Positive","IHSG Melesat 1% ke 6.500"
"Positive","Waskita Mau Jual Tol, Astra Minat Beli"
"Positive","Ternyata Indonesia Punya Banyak Terowongan Kereta Lho, Ini Daftarnya"
"Negative","Tingkat Kredit Macet Bank J-Trust Masih 12%"
"Positive","Dicurhati Pengusaha Remaja, Jokowi: Saya akan Beri Modal"
"Positive","Mahasiswa RI di Timteng Kaji 3 Negara untuk Ekonomi Syariah"
"Positive","Tol Medan-Kualanamu-Tebing Tinggi Tersambung Belmera April 2018"
"Positive","Stasiun Kereta Bandara, Sudirman Baru atau BNI City?"
"Negative","Jangan Mudah Percaya Investasi, Cari Tahu Dulu ke OJK"
"Positive","Transaksi Jaman Now Bye-bye Tunai"
"Positive","Mudik Makin Berkelas Pakai Jet Pribadi"
"Positive","Pemerintah Telusuri Penjual Pulau Indonesia di Situs Online"
"Positive","Komisaris Baru BNI, dari Mantan Menteri Hingga Politisi PDIP"
"Negative","Ini 4 Kasus Indonesia dengan WTO"
"Negative","Pegawai Tak Tahu Debenhams Tutup Akhir Tahun Ini"
"Negative","Beras Medium Langka, Ini Penjelasan Kementan"
"Negative","Subsidi dan Utang Membengkak, Pemerintah Harus Hati-hati"
"Positive","Mendag Sebut Hubungannya dengan Mentan Tak Perlu Dikhawatirkan"
"Positive","Menteri PPN Ajak ISEI Bangun Ekonomi RI"
"Negative","Gula Disegel Kemendag Berwarna Coklat, PTPN: Kelamaan Disimpan"
"Positive","Kota Tujuan Belanja Terbaik di Dunia (1)"
"Positive","BEI Ingin Emiten RI Bisa Jual Saham di Thailand"
"Positive","Menperin Terus Rayu Foxconn Buat Pabrik di RI"
"Negative","Sri Mulyani Tawarkan Sukri Dengan Imbal Hasil 6,9%"
"Negative","Gubernur BI: Ekonomi Kuartal II-2017 Sedikit Lemah"
"Negative","Lika-liku Aturan Taksi Online"
"Positive","DPR Sepakati Aturan Pajak Intip Rekening Jadi UU"
"Negative","HP PHK 4.000 Karyawan di Seluruh Dunia"
"Negative","Ini Dia Daftar Miliuner Ganteng yang Masih Bujangan"
"Negative","Ini Para Pemberi Utang Terbesar Buat RI"
"Negative","""Ayah Hati-hati Bekerja, Bunda Tidak Ingin Jadi Janda"""
"Positive","Kereta Pangrango Sementara Beroperasi Sukabumi-Cigombong"
"Negative","Penjualan Mie Instant Hingga Susu Bubuk Turun"
"Negative","Dampak Kebijakan Trump, RI Bisa Dibanjiri Baja Asal China"
"Positive","Jokowi Bakal Operasikan 25 Ruas Tol di 2018, Ini Daftarnya"
"Negative","Harga Jual Emas Antam Turun Rp 1.000"
"Negative","Mengenal BUMN Survei Pemetaan yang Berdarah-darah"
"Negative","Membandingkan Penerimaan Negara dari Freeport dan Cukai Rokok"
"Positive","Kota Tujuan Belanja Terbaik di Dunia (2)"
"Negative","Lippo Karawaci Raup Laba Rp 143 M, Turun 54%"
"Positive","Aksi Susi Tenggelamkan Kapal Terancam Dihentikan"
"Positive","Kembangkan Startup, Sandi Luncurkan OK OCE Technology"
"Positive","Kakek 95 Tahun Ini Masuk Daftar Orang Terkaya Filipina"
"Positive","Ini Dia Mobil-mobil Listrik Buatan Indonesia"
"Positive","Laba Bank Mandiri Melonjak 49% Jadi Rp 20 Triliun"
"Positive","Emas Antam Dijual Rp 640.000/Gram"
"Negative","Terus Turun, Emas Antam Dijual Rp 630 Ribu/Gram"
"Positive","BI Sebut Investasi Berorientasi Ekspor Bisa Tekan Rasio Utang"
"Positive","Kondisi Yunani, Prancis Hingga Jerman Masuk Radar Pantauan BI"
"Positive","Gempa Goyang Jakarta, PUPR: Belum Ada Laporan Infrastruktur Rusak"
"Positive","Jokowi Diharapkan Resmikan Pusat Perikanan Natuna April"
"Positive","Seberapa Kuat Bangunan di Jakarta Tahan Diguncang Gempa?"
"Positive","Yuk, Mencoba Monorel di Beberapa Negara Tetangga Ini"
"Negative","Harga Pertamax CS Naik, BI: Ada Risiko Inflasi"
"Negative","Ingin Pensiun 5 Tahun Lagi? Yuk, Atur Keuangannya"
"Positive","Stok Pupuk Dipastikan Aman Jelang Musim Tanam"
"Negative","Investasi Bodong Masih Merajalela, Ini Daftarnya"
"Positive","Ini Wejangan yang Paling Diingat Anak Sukamdani Sahid"
"Negative","Penjualan Mobil Sedan Sepanjang 2017 Paling Anjlok, Ini Penyebabnya"
"Positive","Jaga-jaga Kecelakaan, Berapa Besar Dana Darurat yang Dibutuhkan?"
"Negative","Digosipkan Mau Dicaplok BCA, Ini Jawaban Bank Harda"
"Negative","Erick Thohir Mundur dari VIVA Mulai 19 Januari 2017"
"Negative","Ini Daftar Perceraian Terheboh dan Termahal Miliuner Dunia"
