"id","sentiment","text"
1,"Positive","Selain Bank, Ratu Prabu Juga Gandeng Kontraktor China Bangun LRT"
2,"Negative","Ini 3 Maskapai Dalam Negeri yang Lagi 'Goyang'"
3,"Negative","Dihantam Isu Boikot, Saham Starbucks Sudah Turun 15,5%"
4,"Positive","Melonjak Tinggi, Ekonomi Singapura Tumbuh 5,2%"
5,"Negative","Menjelajah Museum IKEA Berisi Perabotan Jadul"
6,"Positive","Sandiaga Uno Mau Jual Saham BUMD DKI, Apa Saja?"
7,"Positive","Menhub: Jepang Ingin Kereta Kencang JKT-SBY Punya Rel Baru"
8,"Positive","Proyek LRT Dikebut, Konstruksi Rampung Februari 2018"
9,"Negative","Posisinya Digeser Perry Warjiyo, Ini Pesan Agus Marto"
10,"Negative","Dana Asing Kabur Jadi Penyebab Rupiah Loyo Pasca Lebaran"
11,"Negative","Perusahaan Raksasa Tapi Merugi, dari BlackBerry Hingga Twitter (1)"
12,"Positive","Harga Ayam Mahal, Jalur Distribusi Terlalu Panjang?"
13,"Positive","Tekan Impor, Krakatau Steel Produksi 40.000 Ton Baja Gulung"
14,"Positive","6 Proyek Kereta Api di Jabodetabek"
15,"Positive","Penerbangan Murah, Paling Fenomenal di Asia Tenggara"
16,"Positive","Holding BUMN Jasa Keuangan Diproses, Begini Progresnya"
17,"Positive","Mau Beli Emas Shio Anjing? Begini Caranya"
18,"Positive","Salah Satu Alasan Pentingnya Asuransi Kecelakaan"
19,"Positive","Mau Cari Investor, Menhub Belajar ke Tom Lembong"
20,"Positive","Satu Lagi Perusahaan Rokok Pangkas Karyawan, Kini Giliran Gudang Garam"
21,"Positive","Kakek 95 Tahun Ini Masuk Daftar Orang Terkaya Filipina"
22,"Positive","RI Impor Beras, Mendag: Dijual dengan Harga Medium"
23,"Negative","Kapan Kemenhub Tindak Tegas Sopir Taksi Online 'Nakal'?"
24,"Negative","Miris, 116 TV Bikinan Kusrin Dihancurkan Saat Proses Mengurus SNI"
25,"Negative","Awas! Bitcoin Pernah Dijadikan Modus Investasi Bodong"
26,"Negative","Para Miliuner Dunia Pun Pernah Hidup Miskin, Ini Buktinya (1)"
27,"Positive","Pelindo II Akan Kembangkan Pelabuhan Syariah di Priok"
28,"Positive","Daftar Negara Penimbun Emas Terbanyak, RI Peringkat Berapa?"
29,"Positive","BNI Sosialisasi Nama Stasiun BNI City"
30,"Negative","Dolar AS Tembus Rp 13.600, Ini Penyebabnya"
31,"Positive","Kata Sri Mulyani Soal Aturan SNI Mainan Impor"
32,"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
33,"Positive","Edi Sukmoro Jabat Dirut KAI hingga 2023"
34,"Positive","Mendongkrak Industri untuk Kejar Pertumbuhan Ekonomi 7%"
35,"Positive","UMP Naik 8,71%, Berapa Upah Minimum DKI 2018?"
36,"Positive","Pasca-Konsensus ASEAN, RI Dorong Pemutihan Pekerja Ilegal"
37,"Positive","Siapa Yenni Andayani, Pengisi Kursi Kosong Dirut Pertamina?"
38,"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
39,"Positive","Ini Wanita Bergaji Besar, HIngga Rp 547 Miliar/Tahun (1)"
40,"Negative","Daftar Penipuan Investasi Terbesar Dalam Sejarah (2)"
41,"Positive","Bunga Deposito BCA Turun Jadi 4%"
42,"Negative","Dicap 'Gagal Bayar' Utang, Saham Tambang Bakrie Langsung Anjlok"
43,"Positive","Buka Pameran Furnitur, Jokowi: Ekspor Harus Kita Dorong"
44,"Positive","Mengintip Pabrik Pesawat Airbus di China"
45,"Positive","Menteri PUPR: Bangun Infrastruktur untuk Kejar Ketertinggalan"
46,"Negative","Ini Pemberi Utang Terbesar ke Pemerintah RI"
47,"Positive","Pesan BPJS TK untuk Para Pekerja: Kami Beri Perlindungan"
48,"Positive","Fakta Seputar Rencana Naiknya Uang Pensiun PNS"
49,"Negative","Penipuan Investasi Terbesar Dalam Sejarah (1)"
50,"Positive","Pentingnya Punya Dana Darurat untuk Antisipasi Bencana Gempa"
51,"Positive","Ini Dia Pendatang Baru Orang Terkaya RI 2013"
52,"Positive","Serba-serbi Referendum Italia yang Penting Diketahui"
53,"Negative","Pasca Longsor, Kapan Kereta Bandara Soetta Beroperasi Lagi?"
54,"Positive","Diskon Kebutuhan Rumah Tangga di Promo Gajian"
55,"Positive","Melon Berbakteri Asal Australia Belum Pernah Masuk RI"
56,"Negative","Ritel Berguguran, Warning Buat Pemerintah"
57,"Positive","Ini Dia Program Pembangunan 5.323 Desa Berdaya"
58,"Positive","Awal Tahun, Kementerian PUPR Sudah Belanja Rp 13,8 Triliun"
59,"Positive","Yuk, Siapkan Dana Pendidikan Anak Sejak Dini"
60,"Negative","Diduga Terlibat Kartel Daging Ayam, Ini Penjelasan Japfa"
61,"Positive","PKH Tahap III Cair, Dimulai di Madura"
62,"Negative","Buka-bukaan Penyebab Selasar BEI Ambruk"
63,"Positive","Bunga Deposito Bank Terus Turun"
64,"Positive","Menebak Nasib Ekonomi RI di Tahun Politik"
65,"Negative","Ekspor Moncer, Defisit Transaksi Berjalan Turun Jadi 1,65% PDB"
66,"Positive","Kapal Cantrang Boleh Melaut Lagi"
67,"Positive","Ombudsman ke Pemerintah: Hentikan Membuat Opini Surplus Beras"
68,"Negative","Pulau RI Dijual Online"
69,"Positive","Perlukah Punya Asuransi Jiwa?"
70,"Negative","Rupiah Melemah 0,37% Terhadap Dolar AS di Desember 2017"
71,"Positive","Perusahaan Asuransi Jiwa Yakin Digitalisasi Tak Bikin PHK"
