No,Label,Kalimat
1,Positive,Ahok Masih Cari Perhatian Supaya Didukung PDIP
2,Positive,Rebut Hadiah Jutaan Rupiah dari Presiden Jokowi Ratusan Domba Garut Didandani
3,Positive,Wah Domba Garut Milik Jokowi Juga Ikut Kontes Adu 'Ganteng'
4,Positive, TNI tak Perlu Masalahkan Penyeimbangan
5,Positive,Situasi Kondusif Pasca Reshuffle Jadi Momentum Jokowi Perbaiki Ekonomi
6,Positive,Persiapan Matang di Balik Festival Wonderful Indonesia Entikong 2016
7,Positive,G20 to enhance China?Indonesia ties: Ambassador
8,Positive,Mendikbud Dorong Perempuan Indonesia Bangun Karakter Bersama
9,Positive,Tahun Depan BPKH Kelola Dana Haji
10,Positive,Janji setia Ahok buat Megawati
11,Positive,Di Balik Kegagalan Kampus Ikut Mengatasi Kemiskinan
12,Positive, Keberhasilan Jokowi?JK Keberhasilan NasDem
13,Positive,Unik Ada kontes domba digelar di Bogor
14,Positive,Menkes: Ayo Kerja Jangan Sia?siakan Bonus Demografi
15,Positive,Biaya Pembangunan Rumah Subsidi Dipangkas 70 Persen
16,Negative,Jokowi Kecewa dengan Pelayanan Investasi
17,Positive,Mabes Polri Dalami Kasus Penjualan Organ Tubuh TKI di NTT
18,Positive,Percepat Proses Pembuatan RUU Tembakau DPR Janji Lindungi Petani
19,Positive,Pilgub DKI 2017; Gerak Indonesia: Warga Jakarta Rindukan Sosok yang Sederhana itu ada pada Risma
20,Positive, Risiko Politik Pemimpin Ikhlas dan Pemberani
21,Positive,Presiden Ingin UU Berkualitas
22,Positive,Menpora: Pemerintah Siap Percepat Majukan Olahraga
23,Positive,Pemindahan Pelabuhan Karimun Menguat
14,Positive,10 Mahasiswa UMRAH Akan Terima Beasiswa CSR
15,Positive,KP2KP Tebing Tinggi Ajak Pelaku Usaha Manfaatkan Tax Amnesti Pajak
16,Positive,Jokowi Diharapkan Resmikan Pusat Perikanan Natuna April
17,Positive,I?WE 2016 Karena Perempuan Suka Belajar Sambil Belanja
18,Positive, Pakar: Perlu Diskresi Presiden Pulihkan Kewarganegaraan Archandra
19,Positive,China?s rail project in Indonesia gets construction permit
20,Positive,Ingatkan Ekonomi Gotong Royong Presiden Jokowi Minta BUMN Rangkul Pengusaha Daerah
